"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2002","Slovakia","Total","Total","Number","5,378,951",""
"2002","Finland","Total","Total","Number","5,194,901",""
"2002","Sweden","Total","Total","Number","8,909,128",""
"2002","United Kingdom","Total","Total","Number","59,239,564",""
"2002","Iceland","Total","Total","Number","286,575",""
"2002","Liechtenstein","Total","Total","Number","33,525",""
"2002","Norway","Total","Total","Number","4,524,066",""
"2002","Switzerland","Total","Total","Number","7,255,653",""
"2003","Belgium","Total","Total","Number","10,355,844",""
"2003","Bulgaria","Total","Total","Number","7,805,506",""
"2003","Czechia","Total","Total","Number","10,192,649",""
"2003","Denmark","Total","Total","Number","5,383,507",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,536,680",""
"2003","Estonia","Total","Total","Number","1,375,190",""
"2003","Ireland","Total","Total","Number","3,964,191",""
"2003","Greece","Total","Total","Number","10,915,770",""
"2003","Spain","Total","Total","Number","41,827,838",""
"2003","France","Total","Total","Number","61,864,088",""
"2003","Croatia","Total","Total","Number","4,305,384",""
"2003","Italy","Total","Total","Number","57,130,506",""
"2003","Cyprus","Total","Total","Number","713,720",""
"2003","Latvia","Total","Total","Number","2,299,390",""
"2003","Lithuania","Total","Total","Number","3,431,497",""
"2003","Luxembourg","Total","Total","Number","448,300",""
"2003","Hungary","Total","Total","Number","10,142,362",""
"2003","Malta","Total","Total","Number","397,296",""
"2003","Netherlands","Total","Total","Number","16,192,572",""
"2003","Austria","Total","Total","Number","8,100,273",""
"2003","Poland","Total","Total","Number","38,218,531",""
"2003","Portugal","Total","Total","Number","10,444,592",""
"2003","Romania","Total","Total","Number","21,627,509",""
"2003","Slovenia","Total","Total","Number","1,995,033",""
"2003","Slovakia","Total","Total","Number","5,374,873",""
"2003","Finland","Total","Total","Number","5,206,295",""
"2003","Sweden","Total","Total","Number","8,940,788",""
"2003","United Kingdom","Total","Total","Number","59,501,394",""
"2003","Iceland","Total","Total","Number","288,471",""
"2003","Liechtenstein","Total","Total","Number","33,863",""
"2003","Norway","Total","Total","Number","4,552,252",""
"2003","Switzerland","Total","Total","Number","7,313,853",""
"2004","Belgium","Total","Total","Number","10,396,421",""
"2004","Bulgaria","Total","Total","Number","7,745,147",""
"2004","Czechia","Total","Total","Number","10,195,347",""
"2004","Denmark","Total","Total","Number","5,397,640",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,531,671",""
"2004","Estonia","Total","Total","Number","1,366,250",""
"2004","Ireland","Total","Total","Number","4,028,851",""
"2004","Greece","Total","Total","Number","10,940,369",""
"2004","Spain","Total","Total","Number","42,547,451",""
"2004","France","Total","Total","Number","62,292,241",""
